liste_des_candidats,nuances,voix,percent_inscrits,percent_exprimes,elu_e,dep,circo,link
M. Franck GALBERT,RN,11 691,"14,35","36,94",Non,06,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00609.html
M. Hervé SAULIGNAC,DVG,21 550,"27,17","60,05",Oui,07,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00701.html
Mme Céline PORQUET,RN,14 339,"18,08","39,95",Non,07,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00701.html
M. Olivier DUSSOPT,ENS,25 684,"26,59","58,86",Oui,07,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00702.html
M. Christophe GOULOUZELLE,NUP,17 955,"18,59","41,14",Non,07,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00702.html
M. Fabrice BRUN,LR,24 896,"30,80","57,11",Oui,07,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00703.html
Mme Florence PALLOT,NUP,18 697,"23,13","42,89",Non,07,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00703.html
M. Lionel VUIBERT,ENS,14 861,"20,94","50,34",Oui,08,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/008/00801.html
M. Laurent RICHARD,RN,14 663,"20,66","49,66",Non,08,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/008/00801.html
M. Pierre CORDIER,LR,15 977,"26,30","69,39",Oui,08,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/008/00802.html
M. Baptiste PHILIPPO,RN,7 049,"11,60","30,61",Non,08,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/008/00802.html
M. Jean-Luc WARSMANN,DVD,15 575,"28,24","67,75",Oui,08,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/008/00803.html
M. David LEMOINE,RN,7 415,"13,44","32,25",Non,08,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/008/00803.html
Mme Bénédicte TAURINE,NUP,14 746,"25,66","55,31",Oui,09,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/009/00901.html
Mme Anne-Sophie TRIBOUT,ENS,11 917,"20,74","44,69",Non,09,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/009/00901.html
M. Laurent PANIFOUS,DVG,16 225,"26,16","56,71",Oui,09,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/009/00902.html
M. Michel LARIVE,NUP,12 383,"19,96","43,29",Non,09,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/009/00902.html
M. Jordan GUITTON,RN,16 093,"24,93","53,89",Oui,10,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/010/01001.html
