liste_des_candidats,nuances,voix,percent_inscrits,percent_exprimes,elu_e,dep,circo,link
M. Michel DELPON,ENS,18 561,"22,02","49,56",Non,24,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02402.html
M. Jean-Pierre CUBERTAFON,ENS,14 284,"21,20","36,52",Oui,24,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02403.html
M. Cyril GIRARDEAU,NUP,13 335,"19,79","34,10",Non,24,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02403.html
Mme Florence JOUBERT,RN,11 491,"17,06","29,38",Non,24,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02403.html
M. Sébastien PEYTAVIE,NUP,24 233,"26,99","55,48",Oui,24,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02404.html
Mme Jacqueline DUBOIS,DVC,19 445,"21,66","44,52",Non,24,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/024/02404.html
M. Laurent CROIZIER,ENS,17 465,"22,92","51,88",Oui,25,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02501.html
Mme Séverine VEZIES,NUP,16 198,"21,25","48,12",Non,25,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02501.html
M. Eric ALAUZET,ENS,19 258,"24,32","52,26",Oui,25,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02502.html
M. Stéphane RAVACLEY,NUP,17 594,"22,22","47,74",Non,25,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02502.html
M. Nicolas PACQUOT,ENS,13 754,"21,32","50,83",Oui,25,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02503.html
Mme Nathalie FRITSCH,RN,13 303,"20,62","49,17",Non,25,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02503.html
Mme Géraldine GRANGIER,RN,13 357,"20,38","50,99",Oui,25,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02504.html
M. Frédéric BARBIER,ENS,12 837,"19,58","49,01",Non,25,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02504.html
Mme Annie GENEVARD,LR,22 678,"26,77","72,06",Oui,25,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02505.html
M. Philippe ALPY,ENS,8 795,"10,38","27,94",Non,25,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/025/02505.html
Mme Mireille CLAPOT,ENS,17 769,"22,79","54,42",Oui,26,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02601.html
M. Karim CHKERI,NUP,14 884,"19,09","45,58",Non,26,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02601.html
Mme Lisette POLLET,RN,21 566,"22,48","57,12",Oui,26,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02602.html
M. Gilles REYNAUD,NUP,16 189,"16,88","42,88",Non,26,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02602.html
Mme Marie POCHON,NUP,29 635,"26,72","52,22",Oui,26,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02603.html
Mme Célia DE LAVERGNE,ENS,27 118,"24,45","47,78",Non,26,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02603.html
Mme Emmanuelle ANTHOINE,LR,27 076,"27,29","57,90",Oui,26,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02604.html
M. Pierre JOUVET,NUP,19 685,"19,84","42,10",Non,26,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/026/02604.html
Mme Christine LOIR,RN,18 575,"21,40","50,62",Oui,27,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02701.html
Mme Séverine GIPSON,ENS,18 117,"20,87","49,38",Non,27,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02701.html
Mme Katiana LEVAVASSEUR,RN,17 990,"22,76","51,10",Oui,27,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02702.html
M. Fabien GOUTTEFARDE,ENS,17 215,"21,78","48,90",Non,27,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02702.html
M. Kévin MAUVIEUX,RN,21 161,"24,68","54,05",Oui,27,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02703.html
Mme Marie TAMARELLE-VERHAEGHE,ENS,17 989,"20,98","45,95",Non,27,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02703.html
M. Philippe BRUN,NUP,19 824,"21,41","50,44",Oui,27,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02704.html
Mme Chrystelle SAULIÈRE,RN,19 476,"21,03","49,56",Non,27,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02704.html
M. Timothée HOUSSIN,RN,19 654,"21,94","50,63",Oui,27,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02705.html
M. François OUZILLEAU,ENS,19 165,"21,40","49,37",Non,27,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/027/02705.html
M. Guillaume KASBARIAN,ENS,22 530,"24,70","58,10",Oui,28,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02801.html
M. Quentin GUILLEMAIN,NUP,16 251,"17,81","41,90",Non,28,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02801.html
M. Olivier MARLEIX,LR,17 957,"23,93","62,33",Oui,28,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02802.html
M. Aleksandar NIKOLIC,RN,10 854,"14,46","37,67",Non,28,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02802.html
M. Luc LAMIRAULT,ENS,16 055,"22,51","53,96",Oui,28,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02803.html
Mme Régine FLAUNET,RN,13 701,"19,21","46,04",Non,28,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02803.html
M. Philippe VIGIER,ENS,17 674,"26,29","60,17",Oui,28,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02804.html
Mme Virginia DE OLIVEIRA,RN,11 699,"17,40","39,83",Non,28,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/028/02804.html
Mme Annaïg LE MEUR,ENS,25 447,"27,56","53,89",Oui,29,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02901.html
M. Grégory LEBERT,NUP,21 772,"23,58","46,11",Non,29,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02901.html
M. Jean-Charles LARSONNEUR,DVC,18 127,"22,92","50,16",Oui,29,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02902.html
M. Pierre-Yves CADALEN,NUP,18 009,"22,77","49,84",Non,29,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02902.html
M. Didier LE GAC,ENS,25 169,"27,02","57,90",Oui,29,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02903.html
M. Pierre SMOLARZ,NUP,18 298,"19,64","42,10",Non,29,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02903.html
Mme Sandrine LE FEUR,ENS,22 872,"27,22","54,40",Oui,29,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02904.html
Mme Sylvaine VULPIANI,NUP,19 169,"22,81","45,60",Non,29,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02904.html
Mme Graziella MELCHIOR,ENS,25 585,"26,14","54,58",Oui,29,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02905.html
Mme Nathalie SARRABEZOLLES,NUP,21 287,"21,75","45,42",Non,29,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02905.html
Mme Mélanie THOMIN,NUP,23 948,"26,24","50,85",Oui,29,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02906.html
M. Richard FERRAND,ENS,23 144,"25,36","49,15",Non,29,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02906.html
Mme Liliana TANGUY,ENS,22 266,"26,73","52,25",Oui,29,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02907.html
Mme Yolande BOUIN,NUP,20 348,"24,42","47,75",Non,29,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02907.html
M. Erwan BALANANT,ENS,23 292,"25,57","52,43",Oui,29,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02908.html
M. Youenn LE FLAO,NUP,21 135,"23,20","47,57",Non,29,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/029/02908.html
M. Yoann GILLET,RN,17 564,"19,65","52,01",Oui,30,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03001.html
Mme Françoise DUMAS,ENS,16 209,"18,14","47,99",Non,30,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03001.html
M. Nicolas MEIZONNET,RN,22 595,"23,77","56,65",Oui,30,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03002.html
M. Yvan LACHAUD,ENS,17 287,"18,19","43,35",Non,30,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03002.html
Mme Pascale BORDES,RN,21 619,"22,63","51,32",Oui,30,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03003.html
M. Anthony CELLIER,ENS,20 506,"21,47","48,68",Non,30,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03003.html
M. Pierre MEURIN,RN,22 289,"23,63","54,49",Oui,30,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03004.html
M. Arnaud BORD,NUP,18 614,"19,73","45,51",Non,30,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03004.html
M. Michel SALA,NUP,22 999,"23,35","53,00",Oui,30,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03005.html
M. Jean-Marie LAUNAY,RN,20 394,"20,71","47,00",Non,30,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03005.html
M. Philippe BERTA,ENS,16 921,"20,01","52,17",Oui,30,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03006.html
M. Nicolas CADÈNE,NUP,15 514,"18,35","47,83",Non,30,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/030/03006.html
M. Hadrien CLOUET,NUP,22 140,"26,37","54,22",Oui,31,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03101.html
M. Pierre BAUDIS,ENS,18 695,"22,27","45,78",Non,31,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03101.html
Mme Anne STAMBACH-TERRENOIR,NUP,26 895,"25,53","52,90",Oui,31,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03102.html
M. Jean-Luc LAGLEIZE,ENS,23 946,"22,73","47,10",Non,31,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03102.html
Mme Corinne VIGNON,ENS,23 780,"29,46","55,71",Oui,31,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03103.html
Mme Agathe ROBY,NUP,18 905,"23,42","44,29",Non,31,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03103.html
M. François PIQUEMAL,NUP,19 467,"28,38","59,26",Oui,31,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03104.html
Mme Marie-Claire CONSTANS,ENS,13 381,"19,51","40,74",Non,31,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03104.html
M. Jean-François PORTARRIEU,ENS,23 948,"22,39","51,89",Oui,31,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03105.html
Mme Sylvie ESPAGNOLLE,NUP,22 201,"20,76","48,11",Non,31,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03105.html
Mme Monique IBORRA,ENS,27 569,"23,85","50,00",Oui,31,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03106.html
M. Fabien JOUVE,NUP,27 566,"23,85","50,00",Non,31,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03106.html
M. Christophe BEX,NUP,23 644,"22,20","51,17",Oui,31,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03107.html
Mme Elisabeth TOUTUT-PICARD,ENS,22 559,"21,18","48,83",Non,31,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03107.html
M. Joël AVIRAGNET,DVG,24 191,"28,08","60,39",Oui,31,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03108.html
M. Loic DELCHARD,RN,15 867,"18,42","39,61",Non,31,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03108.html
Mme Christine ARRIGHI,NUP,21 748,"26,96","58,55",Oui,31,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03109.html
Mme Sandrine MÖRCH,ENS,15 399,"19,09","41,45",Non,31,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03109.html
Mme Dominique FAURE,ENS,27 118,"26,22","50,20",Oui,31,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03110.html
Mme Alice ASSIER,NUP,26 907,"26,01","49,80",Non,31,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/031/03110.html
M. Jean-René CAZENEUVE,ENS,18 822,"25,50","52,51",Oui,32,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/032/03201.html
M. Pascal LEVIEUX,NUP,17 025,"23,07","47,49",Non,32,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/032/03201.html
M. David TAUPIAC,DVG,22 203,"30,07","62,98",Oui,32,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/032/03202.html
Mme Maëva BOURCIER,ENS,13 052,"17,67","37,02",Non,32,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/032/03202.html
M. Thomas CAZENAVE,ENS,28 292,"27,17","59,11",Oui,33,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03301.html
Mme Catherine CESTARI,NUP,19 569,"18,79","40,89",Non,33,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03301.html
M. Nicolas THIERRY,NUP,19 433,"26,88","53,34",Oui,33,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03302.html
Mme Catherine FABRE,ENS,16 997,"23,51","46,66",Non,33,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03302.html
M. Loïc PRUD'HOMME,NUP,24 066,"26,89","59,27",Oui,33,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03303.html
M. Fabien ROBERT,ENS,16 541,"18,48","40,73",Non,33,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03303.html
M. Alain DAVID,NUP,22 876,"23,23","59,73",Oui,33,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03304.html
Mme Melissa KARACA,ENS,15 426,"15,67","40,27",Non,33,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03304.html
M. Grégoire DE FOURNAS,RN,26 263,"21,71","53,28",Oui,33,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03305.html
M. Olivier MANEIRO,NUP,23 026,"19,03","46,72",Non,33,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03305.html
M. Eric POULLIAT,ENS,26 893,"24,89","51,85",Oui,33,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03306.html
Mme Vanessa FERGEAU-RENAUX,NUP,24 969,"23,11","48,15",Non,33,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03306.html
Mme Bérangère COUILLARD,ENS,20 964,"26,28","52,71",Oui,33,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03307.html
M. Jean-Renaud FERRAN,NUP,18 809,"23,58","47,29",Non,33,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03307.html
Mme Sophie PANONACLE,ENS,31 442,"26,24","60,00",Oui,33,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03308.html
M. Laurent LAMARA,RN,20 965,"17,50","40,00",Non,33,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03308.html
Mme Sophie METTE,ENS,22 950,"22,46","50,49",Oui,33,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03309.html
M. Sacha ANDRÉ,NUP,22 506,"22,02","49,51",Non,33,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03309.html
M. Florent BOUDIÉ,ENS,19 581,"23,51","53,26",Oui,33,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03310.html
Mme Sandrine CHADOURNE,RN,17 185,"20,63","46,74",Non,33,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03310.html
Mme Edwige DIAZ,RN,25 092,"25,41","58,70",Oui,33,11,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03311.html
Mme Véronique HAMMERER,ENS,17 653,"17,88","41,30",Non,33,11,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03311.html
M. Pascal LAVERGNE,ENS,20 364,"23,11","50,23",Oui,33,12,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03312.html
Mme Mathilde FELD,NUP,20 181,"22,90","49,77",Non,33,12,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/033/03312.html
Mme Patricia MIRALLES,ENS,19 338,"21,46","52,55",Oui,34,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03401.html
M. Julien COLET,NUP,17 463,"19,38","47,45",Non,34,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03401.html
Mme Nathalie OZIOL,NUP,17 008,"25,99","63,33",Oui,34,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03402.html
Mme Annie YAGUE,ENS,9 847,"15,05","36,67",Non,34,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03402.html
Mme Laurence CRISTOL,ENS,22 907,"24,82","53,10",Oui,34,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03403.html
Mme Julia MIGNACCA,NUP,20 229,"21,91","46,90",Non,34,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03403.html
M. Sébastien ROME,NUP,26 291,"22,06","50,65",Oui,34,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03404.html
Mme Manon BOUQUIN,RN,25 617,"21,49","49,35",Non,34,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03404.html
Mme Stéphanie GALZY,RN,23 695,"23,94","54,24",Oui,34,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03405.html
M. Pierre POLARD,NUP,19 990,"20,20","45,76",Non,34,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03405.html
Mme Emmanuelle MÉNARD,DVD,26 255,"27,96","69,83",Oui,34,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03406.html
Mme Magali CROZIER-DANIEL,NUP,11 341,"12,08","30,17",Non,34,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03406.html
M. Aurélien LOPEZ LIGUORI,RN,27 378,"25,14","59,19",Oui,34,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03407.html
M. Gabriel BLASCO,NUP,18 873,"17,33","40,81",Non,34,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03407.html
M. Sylvain CARRIERE,NUP,19 483,"20,65","50,59",Oui,34,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03408.html
M. Cédric DELAPIERRE,RN,19 025,"20,16","49,41",Non,34,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03408.html
M. Patrick VIGNAL,ENS,19 520,"21,83","54,37",Oui,34,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03409.html
Mme Nadia BELAOUNI,NUP,16 384,"18,32","45,63",Non,34,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/034/03409.html
M. Frédéric MATHIEU,NUP,25 205,"26,96","52,62",Oui,35,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03501.html
Mme Hind SAOUD,ENS,22 691,"24,27","47,38",Non,35,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03501.html
Mme Laurence MAILLART-MÉHAIGNERIE,ENS,28 165,"28,66","51,82",Oui,35,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03502.html
M. Tristan LAHAIS,NUP,26 190,"26,65","48,18",Non,35,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03502.html
Mme Claudia ROUAUX,NUP,23 784,"25,89","51,53",Oui,35,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03503.html
M. Christophe MARTINS,ENS,22 375,"24,36","48,47",Non,35,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03503.html
Mme Mathilde HIGNET,NUP,22 856,"23,85","50,36",Oui,35,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03504.html
Mme Anne PATAULT,ENS,22 528,"23,51","49,64",Non,35,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03504.html
Mme Christine LE NABOUR-CLOAREC,ENS,29 690,"27,06","58,66",Oui,35,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03505.html
M. Gilles RENAULT,NUP,20 923,"19,07","41,34",Non,35,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03505.html
M. Thierry BENOIT,ENS,26 431,"29,27","61,69",Oui,35,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03506.html
Mme Hélène MOCQUARD,NUP,16 413,"18,18","38,31",Non,35,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03506.html
M. Jean-Luc BOURGEAUX,LR,23 704,"22,56","52,23",Oui,35,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03507.html
Mme Anne LE GAGNE,ENS,21 681,"20,64","47,77",Non,35,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03507.html
M. Mickaël BOULOUX,NUP,28 261,"31,06","57,97",Oui,35,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03508.html
M. Florian BACHELIER,ENS,20 489,"22,52","42,03",Non,35,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/035/03508.html
M. François JOLIVET,ENS,18 158,"23,35","56,02",Oui,36,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/036/03601.html
Mme Éloïse GONZALEZ,NUP,14 258,"18,33","43,98",Non,36,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/036/03601.html
M. Nicolas FORISSIER,LR,22 507,"25,47","58,19",Oui,36,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/036/03602.html
M. Fabien THIRION,RN,16 173,"18,30","41,81",Non,36,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/036/03602.html
M. Charles FOURNIER,NUP,17 461,"24,54","53,51",Oui,37,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03701.html
M. Philippe CHALUMEAU,ENS,15 171,"21,32","46,49",Non,37,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03701.html
M. Daniel LABARONNE,ENS,22 663,"24,57","54,71",Oui,37,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03702.html
Mme Christelle GOBERT,NUP,18 758,"20,33","45,29",Non,37,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03702.html
M. Henri ALFANDARI,ENS,25 792,"25,95","57,16",Oui,37,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03703.html
Mme Roxane SIRVEN,NUP,19 327,"19,44","42,84",Non,37,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03703.html
Mme Fabienne COLBOC,ENS,21 185,"22,95","50,52",Oui,37,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03704.html
M. Laurent BAUMEL,NUP,20 752,"22,48","49,48",Non,37,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03704.html
Mme Sabine THILLAYE,ENS,22 055,"25,32","59,06",Oui,37,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03705.html
Mme Ambre LOUISIN,RN,15 286,"17,55","40,94",Non,37,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/037/03705.html
M. Olivier VÉRAN,ENS,25 512,"29,76","55,53",Oui,38,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03801.html
Mme Salomé ROBIN,NUP,20 427,"23,83","44,47",Non,38,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03801.html
Mme Cyrielle CHATELAIN,NUP,16 992,"21,62","52,13",Oui,38,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03802.html
M. Jean-Charles COLAS-ROY,ENS,15 604,"19,85","47,87",Non,38,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03802.html
Mme Élisa MARTIN,NUP,15 326,"25,37","57,48",Oui,38,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03803.html
Mme Emilie CHALAS,ENS,11 338,"18,77","42,52",Non,38,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03803.html
Mme Marie-Noëlle BATTISTEL,NUP,24 016,"26,13","58,06",Oui,38,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03804.html
Mme Fanny LACROIX,ENS,17 350,"18,88","41,94",Non,38,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03804.html
M. Jérémie IORDANOFF,NUP,25 010,"23,58","50,43",Oui,38,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03805.html
Mme Florence JAY,ENS,24 580,"23,18","49,57",Non,38,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03805.html
M. Alexis JOLLY,RN,18 667,"20,94","50,92",Oui,38,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03806.html
Mme Cendra MOTIN,ENS,17 994,"20,18","49,08",Non,38,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03806.html
M. Yannick NEUDER,LR,23 678,"24,63","59,59",Oui,38,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03807.html
M. Alexandre MOULIN-COMTE,RN,16 055,"16,70","40,41",Non,38,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03807.html
Mme Caroline ABADIE,ENS,18 251,"22,12","53,63",Oui,38,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03808.html
M. Benoit AUGUSTE,RN,15 782,"19,13","46,37",Non,38,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03808.html
Mme Elodie JACQUIER-LAFORGE,ENS,24 427,"24,27","53,80",Oui,38,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03809.html
Mme Sandrine NOSBÉ,NUP,20 973,"20,84","46,20",Non,38,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03809.html
Mme Marjolaine MEYNIER-MILLEFERT,ENS,20 282,"20,52","52,51",Oui,38,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03810.html
